a,query
"@nypost @JoshMankiewicz They will have our business going forward. Every company with this kind of leadership will gain and retain our business. Dining in, purchasing gift cards to encourage new patrons and lots of word-of-mouth praise coming from our family. G-d bless the humble business leaders.",great
@nypost remember this when the crisis has passed and you are thinking about where to eat,excellent
@nypost Hats off,awesome
@nypost That's the way it should be done!,fantastic
"@nypost lol, where are all the celebrities doing the same",best
@nypost Best steak I ever had!!🥩❤?Sun Mar 29 01:38:20 +0000 2020,love
@nypost @caroljsroth I will reward him with my loyal patronage,must
@nypost Class move and awesome restaurant,will
"@nypost Our local Texas Roadhouse also sold all of their steaks, chicken and other items (uncooked) for a fraction of the cost you’d pay at the grocery store since our local markets were out of meat.",ful
@nypost God bless,hope
@nypost @caroljsroth 😊😊😊,would
@nypost @rpetty 🙏 God Bless,bad
@nypost Amazing restaurant on of my favs,terrible
@nypost Wow. Now that is a true hero    He has millions and worries about his workers.,worst
@nypost @caroljsroth This is what leadership looks like kids.,less
@nypost Now that’s Servant Leadership....,suck
@nypost @JoshMankiewicz #2handsCanSave1,lous
@nypost @caroljsroth Bravo. I just gave up my pay until we get this thing sorted.  People depend on us. Glad you posted this 🇺🇸,worse
@nypost You have one new loyal customer.,n't
@BillGalvano https://t.co/tEGd4uEM0O,afraid
@QTent2016 @BGailQu Science. https://t.co/GnrDfywssW,great
@BillGalvano Cancer spread by vaccination. https://t.co/gmwwSeQM85,
@BillGalvano Many vaccine ingredients are KNOWN to cause cancer!  @BillMontford @kellistargel @mannydiazjr @lizabethbenaquisto @edhooper @Jsmithjax @max4metals @Movanhook @rsbellmedia,
"@BGailQu It wasnt given cancer but rather disrupted cells to the point of toxic morphology. Then, the body if immune suppressed enuf, healthy cells will die off and lose the defense allowing the cancer cell that do not die off to invade.#antivax #protectthechildren #stopthemadness",
@BGailQu Deliberately.,
"@BGailQu Its more complicated than that, not all the vaccines were contaminated (plus quality standards are much better now), link to possible cancer still unclear. Also, the #vaccines now are very different from 50+ years ago -- the science keeps evolving. https://t.co/Vrfc89J0fV",
"@VisionEconomic1 I don't know either. The mortality rate is higher than a normal flu strain. And the rate of hospitalization is higher. And it's highly contagious. But the weird thing is the variation. In Rome a couple from China got it, they'd toured Italy and then ended up on ventilators...",
"@VisionEconomic1 Well it's certainly plunging this place into chaos. The first patient is a 38-year-old athlete with a pregnant wife. They got it and pneumonia and are in serious condition. It's strange, seems like it effects some people more than others, sometimes hits young, healthy people hard",
"@VisionEconomic1 And it's all blowing up, 7 dead, mostly elderly and/or sick except the last that was only 62.I dunno. Sure, the total deaths won't approach normal flu, but people are afraid of how severe the symptoms are and the death rate. It's a madhouse in the North now, not much better here",
"@truleely I am still not convinced to be honest. Its just a Flu virus, We get different types every year. Its just the press decide not to sensationalise them",
@GibraltarGov @PublicHealthGib Remove Paul from Health and put Gilbert in! Seguro que no el Coronavirus ese will want to stay in Gib!!,
"@GibraltarGov @jessjewlry @PublicHealthGib If you are going to be transparent maybe don't communicate in incomplete statements. Are any clinicians suspected of having COVID-19 and has there been sufficient time for their results to be back if any have been tested? ""None have tested positive yet"" is not reassuring.",
"@EpochTimesChina @EpochTimes Its so interesting how little people in the states care about this. Someone close to me who is a doctor, says that in order to avoid the Coronavirus you should just wash your hands often...",
@EpochTimesChina Sounds like they're not treating ppl just quarantine? That's communism..,
@EpochTimesChina 80 cities with more than 1200k separating some.   Forced detentions hoping in two weeks they can cleanup all the bodies &amp; everything will get back to normal.,
@EpochTimesChina @jenniferatntd https://t.co/AQeiRXIgsn,
@EpochTimesChina @BenKTallmadge To think Ive actually spent a lot of time in Guangzhou years ago.,
@Jooka08464330 @EpochTimesChina @EpochTimes U r absolutely correct about people in the states mentality. Need to use 90% rubbing alcohol. Hand sanitizer has only 70% which is wasted $. I carry 90% rubbing alcohol all the time.,
@EpochTimesChina @jenniferatntd https://t.co/Q8hnte4of2,
"@EpochTimesChina I feel sorry for the Real Chinese people under Communist slavery for too long, its obvious the Commies are infecting their own people, God Bless those who are infected, if the Commies keep killing their people they will be left with elderly soldiers with blind vision. Weak Army.",
@business @gatesfoundation South Koreas President Moon Jae-in visited patients with #coronavirus symptoms at a hospital in Seoul.Seouls subway stations are getting some thorough disinfection after a 4th confirmed case in the country @moonriver365 #????,
@business @gatesfoundation @moonriver365 The South Korean government will send a chartered plane to Wuhan to repatriate citizens in response to the #coronavirus outbreak https://t.co/1UWURyB01g,
@business @gatesfoundation @moonriver365 Germany confirmed that a 33-year-old man is the country's first known case of #coronavirus https://t.co/CNjvrxyYBL,
@business @gatesfoundation @moonriver365 LATEST:The CDC says travelers should avoid all non-essential travel to China as the #coronavirus outbreak continues https://t.co/4OVKnjtk6X,
"@business @gatesfoundation MORE: Hong Kong will restrict flights and train services from the mainland as part of efforts to contain the #coronavirus, Chief Executive Carrie Lam says https://t.co/YrB7wbCuQj",
"@business @gatesfoundation @moonriver365 China is dispatching some 6,000 medical staff from around the country to Wuhan to help treat and contain #coronavirus, local authorities said on Tuesday.100+ people have died and thousands are infected in China htt",
"@business @gatesfoundation @moonriver365 ??The CDC has expanded traveler screenings from 5 airports to 20 across the U.S., Director Robert Redfield says https://t.co/bw97dM9MgV",
"@business @gatesfoundation @moonriver365 There is no way on earth many of us, including myself, are going to leave our loved ones.While some U.S. citizens prepare to evacuate #Wuhan, China, Doug Perez says hes staying behind for his girlfriend and thei",
"@business @gatesfoundation @moonriver365 UPDATE: The #Coronavirus death toll rises to 132 and cases increase to 5,974 https://t.co/RgrwSOeRH3",
"@business @gatesfoundation @moonriver365 China is boosting efforts to make surgical masks and medical supplies to fight the #coronavirus outbreak, state media says.100+ people have died and thousands are infected in China https://t.co/lZmO02CQOm",
"@business @gatesfoundation @moonriver365 There is no proven therapy for #coronavirus infection, National Institute of Allergy and Infectious Diseases Director Anthony Fauci says.That is why it is so important that we get isolates of the virus, which we",
@business @gatesfoundation @moonriver365 MORE: The #CoronaVirus case total surpasses the SARS case total. The worldwide death toll has risen to 131.More via @business:  https://t.co/OhDNbscE19 https://t.co/3cnNhxij1d,
@QuickTake @business @gatesfoundation @moonriver365 No one should be allowed in the US at this point keep that shit over there,
"Well, it did originate in Wuhan. Why is it gross?",
Just astoundingly gross to call it the Wuhan Virus.,
@descoladoen same for didi 40minute+,
@Yaasiinc Please be safe.,
"@Yaasiinc Prayers to you, friend.",
@Yaasiinc Im surprised they are picking anyone up. Good luck to you ?,
@chngin_the_wrld @Yaasiinc An N95 would sure come in handy,
@WintersPilar thankyou ??,
@Yaasiinc No Didi?,
@JamesReviewsYT1 @Yaasiinc Its a city of 11million tbf,
@Yaasiinc I hope you have a stock of N95 masks....stay safe.,
@Yaasiinc Stay strong mate,
@3tanislas why are u wishing me death that soon bro ????,
@Yaasiinc crazy,
@Yaasiinc ? be safe ?,
@Yaasiinc Thank you for sharing so the outside can see what's going on!,
@Yaasiinc holy thats bad,
@Yaasiinc Are businesses &amp; schools still open within Wuhan? How far out from the main city does the quarantine stretch?,
@Yaasiinc Please stay safe...,
"@Yaasiinc Ho is this possible in China where everything clean, safe. Road, streets everything clean. Is this is result of any chemical attack or extra scientific uses of nature for development as duplicate clouds, weapon, bomb trial @narendramodi @WHO @china @UKParliament",
"@Yaasiinc Sorry for your hassle. As an old China head, I get your meaning: China's major cities, like Wuhan city (11M), teem w/ppl. For the streets of downtown Wuhan to look THAT deserted is historic. Like a scene from a poorly made, ""Contagion""-type 'B' movie. Wow.",
@Yaasiinc Looks busy to me https://t.co/DEATOig1OG,
@MountainBark @Yaasiinc Considering 11 mil people live there.. lol,
@Yaasiinc Hope you are staying safe!,
@jaihindnil @Yaasiinc Toxic for human consumption either way,
@Yaasiinc ,
"@Yaasiinc Trains are down too.If you arent sick, find a bike,If you are sick, stay home, away from people.",
@Yaasiinc Are people going to work ?,
@John_37289311 @Yaasiinc,
.@PhilsGangRadio  https://t.co/PbuWccs4jW@StJude @am1220kdow @PhilsGangRadio @POTUS@realDonaldTrump @DonaldJTrumpJr @GOP #investors #JOIN #LEARN #INVEST #PROFIT #DONATE@ChoiceTrade #choicetrade@moneyshow #RUNUTS!@stocktwits,
"@rakeshnms @MohanCRaja @MFA_China @MEAIndia @DrSJaishankar @EOIBeijing Thank you, Sir! I have a wonderful team here.",
@VikramMisri @MFA_China @MEAIndia @DrSJaishankar @EOIBeijing Indian Embassy officials are doing tremendous job all across the globe.,
@VikramMisri @MFA_China @MEAIndia @DrSJaishankar @EOIBeijing Congratulations @VikramMisri very well handled,
"@VikramMisri @MEAIndia @DrSJaishankar @EOIBeijing The seeds sowed by madam sushma ji in mea is blossoming .Great work, Full credit goes to the air India crew",
A special word of appreciation for two of our officers who are on board the plane - Deepak Padmakumar and M.Balakrishnan - they showed exemplary fortitude and a real spirit of public service by traveling to ground zero in #Wuhan to coordinate airport arrangements. Kudos to both.,
@hansie_version9 @VikramMisri @MEAIndia @MFA_China @DrSJaishankar @EOIBeijing @AdnanSamiLive Hansie. . Ab yeh jyada ho gaya,
"@VikramMisri @MEAIndia @MFA_China @DrSJaishankar @EOIBeijing You leave India, but India wont leave you!!!Good work @MEAIndia @DrSJaishankar and team!!! @AdnanSamiLive has already highlighted difference between pak and india go with video of poor student o",
"The second flight from #Wuhan has just landed in #Delhi. We wish all those on board good health in the days ahead. Once again, thank you to #AirIndia, Team @MEAIndia and @MFA_China |@DrSJaishankar @PMOIndia",
"Want to thank my team at @EOIBeijing which mounted a non-stop almost 96-hour long operation to coordinate a complex airlift under challenging circumstances for us, the passengers and local authorities in #Hubei and #Wuhan",
We wish the people of #China well as they face the challenge of the #nCoV2019 outbreak. We will continue to work with @MFA_China й ? 人,
@Sankarbalajee1 @VikramMisri @MEAIndia @DrSJaishankar @EOIBeijing We should sell Air India as soon as possible (100%),
@sameergoyal @VikramMisri @MFA_China @MEAIndia @DrSJaishankar @EOIBeijing They were going to but porkis said  Hum kagaz Nahi dikhayenge,
@VikramMisri @MFA_China @MEAIndia @DrSJaishankar @EOIBeijing Thanks @DrSJaishankar and team for saving our Indians and other countrymen.,
@VikramMisri @MFA_China @MEAIndia @DrSJaishankar @EOIBeijing Pls also consider evacuating the unfortunate Pakistani students who have been left at the mercy of God by their government ..,
@VikramMisri @MFA_China @MEAIndia @DrSJaishankar @EOIBeijing Shushmaji must be smiling from above somewhere. ????,
"@VikramMisri @MFA_China @MEAIndia @DrSJaishankar @EOIBeijing Sir, please also look for paxitani students. It's really heartening to see them left behind.@PMOIndia @DrSJaishankar",
@Nav_Gir @VikramMisri @MFA_China @MEAIndia @DrSJaishankar @EOIBeijing @PMOIndia Wo kagaz nahi dikhayege to phir,